,datetime,method,gender,age,total
0,30-11-2023 10:00:00,ENTER,female,33,1
1,30-11-2023 10:05:00,EXIT,male,69,0
2,30-11-2023 10:10:00,ENTER,male,28,1
3,30-11-2023 10:15:00,EXIT,male,45,0
4,30-11-2023 10:20:00,EXIT,female,27,-1
5,30-11-2023 10:25:00,EXIT,male,51,-2
6,30-11-2023 10:30:00,ENTER,female,63,-1
7,30-11-2023 10:35:00,ENTER,male,36,0
8,30-11-2023 10:40:00,ENTER,female,68,1
9,30-11-2023 10:45:00,EXIT,female,15,0
10,30-11-2023 10:50:00,ENTER,female,43,1
11,30-11-2023 10:55:00,EXIT,male,69,0
12,30-11-2023 11:00:00,EXIT,female,72,-1
13,30-11-2023 11:05:00,ENTER,male,34,0
14,30-11-2023 11:10:00,ENTER,male,42,1
15,30-11-2023 11:15:00,ENTER,female,71,2
16,30-11-2023 11:20:00,EXIT,male,46,1
17,30-11-2023 11:25:00,ENTER,female,69,2
18,30-11-2023 11:30:00,ENTER,female,70,3
19,30-11-2023 11:35:00,ENTER,female,57,4
20,30-11-2023 11:40:00,EXIT,female,54,3
21,30-11-2023 11:45:00,EXIT,female,39,2
22,30-11-2023 11:50:00,ENTER,male,39,3
23,30-11-2023 11:55:00,ENTER,male,64,4
24,30-11-2023 12:00:00,ENTER,female,46,5
25,30-11-2023 12:05:00,ENTER,female,53,6
26,30-11-2023 12:10:00,ENTER,male,61,7
27,30-11-2023 12:15:00,EXIT,male,59,6
28,30-11-2023 12:20:00,EXIT,male,71,5
29,30-11-2023 12:25:00,EXIT,male,84,4
30,30-11-2023 12:30:00,ENTER,female,73,5
31,30-11-2023 12:35:00,EXIT,female,14,4
32,30-11-2023 12:40:00,ENTER,female,19,5
33,30-11-2023 12:45:00,EXIT,male,27,4
34,30-11-2023 12:50:00,ENTER,male,87,5
35,30-11-2023 12:55:00,EXIT,female,16,4
36,30-11-2023 13:00:00,EXIT,female,81,3
37,30-11-2023 13:05:00,ENTER,male,92,4
38,30-11-2023 13:10:00,EXIT,male,31,3
39,30-11-2023 13:15:00,EXIT,male,57,2
40,30-11-2023 13:20:00,ENTER,male,76,3
41,30-11-2023 13:25:00,ENTER,female,7,4
42,30-11-2023 13:30:00,EXIT,male,42,3
43,30-11-2023 13:35:00,ENTER,male,52,4
44,30-11-2023 13:40:00,EXIT,female,85,3
45,30-11-2023 13:45:00,EXIT,female,62,2
46,30-11-2023 13:50:00,EXIT,female,29,1
47,30-11-2023 13:55:00,EXIT,male,93,0
48,30-11-2023 14:00:00,EXIT,female,95,-1
49,30-11-2023 14:05:00,EXIT,male,57,-2
50,30-11-2023 14:10:00,ENTER,female,63,-1
51,30-11-2023 14:15:00,EXIT,male,52,-2
52,30-11-2023 14:20:00,ENTER,male,25,-1
53,30-11-2023 14:25:00,EXIT,male,57,-2
54,30-11-2023 14:30:00,ENTER,female,33,-1
55,30-11-2023 14:35:00,EXIT,male,43,-2
56,30-11-2023 14:40:00,EXIT,female,65,-3
